dataset,model_family,policy_variant,protocol,run_name,run_dir,stage1_weight_mode,stage1_roc_auc,stage1_fpr,stage1_tpr,stage2_macro_f1_fixedK,stage2_macro_f1_present,stage2_accuracy,system_macro_f1_supported_labels,system_macro_f1_declared_output_labels_historical,system_accuracy,benign_family_fp_rate,overall_reject_rate,stage1_brier,stage1_ece,system_brier_multiclass_known,system_ece_toplabel_known
CICIDS2017,rf,strict,A_stratified,A_stratified__CICIDS2017__rf__20260327_150346,runs_two_stage_V5_A_core\A_stratified__CICIDS2017__rf__20260327_150346,class_weight_balanced,0.986343769415337,0.0072153354309614,0.9730720265421858,0.8623044532691629,0.8623044532691629,0.9925928783611744,0.818902771736530,0.716539925269464,0.9862583842575848,0.0072153354309614,0.0,0.0104167783502621,0.0084123259562071,0.0171228154387105,0.003542302644207
CICIDS2017,rf,strict_tau,A_stratified,A_stratified__CICIDS2017__rf__20260327_150346,runs_two_stage_V5_A_core\A_stratified__CICIDS2017__rf__20260327_150346,class_weight_balanced,0.986343769415337,0.0072153354309614,0.9730720265421858,0.8623044532691629,0.8623044532691629,0.9925928783611744,0.850374216458442,0.744077439401136,0.9851193309092756,0.0025356870574657,0.0054414386973544,0.0104167783502621,0.0084123259562071,0.0171228154387105,0.003542302644207
CICIDS2017,xgb,strict,A_stratified,A_stratified__CICIDS2017__xgb__20260327_145150,runs_two_stage_V5_A_core\A_stratified__CICIDS2017__xgb__20260327_145150,none,0.9797924377425292,0.0099152945735454,0.8695780769774829,0.869752324370601,0.869752324370601,0.9909211321579672,0.699910088488132,0.612421327427115,0.9588195726804876,0.0099152945735454,0.0,0.0378440898591439,0.0150283768235263,0.0746043455068921,0.014333884645306
CICIDS2017,xgb,strict_tau,A_stratified,A_stratified__CICIDS2017__xgb__20260327_145150,runs_two_stage_V5_A_core\A_stratified__CICIDS2017__xgb__20260327_145150,none,0.9797924377425292,0.0099152945735454,0.8695780769774829,0.869752324370601,0.869752324370601,0.9909211321579672,0.731398318262722,0.639973528479881,0.9580898170534372,0.003921469519104,0.0058983291768991,0.0378440898591439,0.0150283768235263,0.0746043455068921,0.014333884645306
CICIoT2023,rf,strict,A_stratified,A_stratified__CICIoT2023__rf__20260330_102854,runs_two_stage_V5_A_core\A_stratified__CICIoT2023__rf__20260330_102854,none,0.997289407271632,0.0164123747973438,0.9776981291554756,0.9282395954910786,0.9282395954910786,0.9883906487795978,0.897154513910465,0.785010199671656,0.972182737996582,0.0164123747973438,0.0,0.0471216401429817,0.0536872513037603,0.096767293478454,0.0442580375809239
CICIoT2023,rf,strict_tau,A_stratified,A_stratified__CICIoT2023__rf__20260330_102854,runs_two_stage_V5_A_core\A_stratified__CICIoT2023__rf__20260330_102854,none,0.997289407271632,0.0164123747973438,0.9776981291554756,0.9282395954910786,0.9282395954910786,0.9883906487795978,0.897142171999474,0.784999400499540,0.9721673711628191,0.0163901659004597,4.390523932197139e-05,0.0471216401429817,0.0536872513037603,0.096767293478454,0.0442580375809239
CICIoT2023,xgb,strict,A_stratified,A_stratified__CICIoT2023__xgb__20260327_154258,runs_two_stage_V5_A_core\A_stratified__CICIoT2023__xgb__20260327_154258,none,0.997387583202236,0.0165678370755324,0.9764129483410428,0.9271675735605616,0.9271675735605616,0.9878768073937734,0.891279663605775,0.779869705655053,0.9704144544828897,0.0165678370755324,0.0,0.048650548127701,0.0534569274348523,0.0852734080730321,0.0390708461954767
CICIoT2023,xgb,strict_tau,A_stratified,A_stratified__CICIoT2023__xgb__20260327_154258,runs_two_stage_V5_A_core\A_stratified__CICIoT2023__xgb__20260327_154258,none,0.997387583202236,0.0165678370755324,0.9764129483410428,0.9271675735605616,0.9271675735605616,0.9878768073937734,0.888809454169177,0.777708272398030,0.9641502744626274,0.0086170519910276,0.0108489846364591,0.048650548127701,0.0534569274348523,0.0852734080730321,0.0390708461954767
