dataset,model_family,policy_variant,protocol,run_name,run_dir,stage1_weight_mode,stage1_roc_auc,stage1_fpr,stage1_tpr,stage2_macro_f1_fixedK,stage2_macro_f1_present,stage2_accuracy,system_macro_f1_supported_labels,system_macro_f1_declared_output_labels_historical,system_accuracy,benign_family_fp_rate,overall_reject_rate,stage1_brier,stage1_ece,system_brier_multiclass_known,system_ece_toplabel_known
NSL-KDD,rf,strict,A_stratified,A_stratified__NSL-KDD__rf__20260408_142237,runs_two_stage_V5_A_external_validation\A_stratified__NSL-KDD__rf__20260408_142237,none,0.9628253847820496,0.1064771908145402,0.9339982856697576,0.6357276811100454,0.6357276811100454,0.7936569781033274,0.655998907261969,0.546665756051641,0.8213715400993612,0.1064771908145402,0.0,0.1732971021959805,0.1946443495781543,0.2045993801678403,0.0957322208994104
NSL-KDD,rf,strict_tau,A_stratified,A_stratified__NSL-KDD__rf__20260408_142237,runs_two_stage_V5_A_external_validation\A_stratified__NSL-KDD__rf__20260408_142237,none,0.9628253847820496,0.1064771908145402,0.9339982856697576,0.6357276811100454,0.6357276811100454,0.7936569781033274,0.579110434737501,0.482592028947917,0.7295511000709723,0.0398517145505097,0.1994765791341377,0.1732971021959805,0.1946443495781543,0.2045993801678403,0.0957322208994104
NSL-KDD,xgb,strict,A_stratified,A_stratified__NSL-KDD__xgb__20260408_142145,runs_two_stage_V5_A_external_validation\A_stratified__NSL-KDD__xgb__20260408_142145,none,0.969870791632083,0.044588610853671,0.8352684485311307,0.6974112745448753,0.6974112745448753,0.8361256136523026,0.665719797642288,0.554766498035240,0.8338804116394606,0.044588610853671,0.0,0.1902093502258266,0.1988962335479814,0.3683702235852131,0.1822221794946054
NSL-KDD,xgb,strict_tau,A_stratified,A_stratified__NSL-KDD__xgb__20260408_142145,runs_two_stage_V5_A_external_validation\A_stratified__NSL-KDD__xgb__20260408_142145,none,0.969870791632083,0.044588610853671,0.8352684485311307,0.6974112745448753,0.6974112745448753,0.8361256136523026,0.637618246903535,0.531348539086279,0.8113023420865862,0.0340850581814437,0.0480393896380411,0.1902093502258266,0.1988962335479814,0.3683702235852131,0.1822221794946054
UNSW-NB15,rf,strict,A_stratified,A_stratified__UNSW-NB15__rf__20260408_142612,runs_two_stage_V5_A_external_validation\A_stratified__UNSW-NB15__rf__20260408_142612,none,0.9848433172290209,0.016125,0.8559924921024626,0.5798188809468323,0.5798188809468323,0.7662496543518154,0.533812882541624,0.485284438674204,0.7509082302484872,0.016125,0.0,0.0811816972484818,0.0831797690329744,0.3396271881755209,0.0695941907392146
UNSW-NB15,rf,strict_tau,A_stratified,A_stratified__UNSW-NB15__rf__20260408_142612,runs_two_stage_V5_A_external_validation\A_stratified__UNSW-NB15__rf__20260408_142612,none,0.9848433172290209,0.016125,0.8559924921024626,0.5798188809468323,0.5798188809468323,0.7662496543518154,0.534194293032864,0.485631175484422,0.7480794566017075,0.0150714285714285,0.019926885326307,0.0811816972484818,0.0831797690329744,0.3396271881755209,0.0695941907392146
UNSW-NB15,xgb,strict,A_stratified,A_stratified__UNSW-NB15__xgb__20260408_142455,runs_two_stage_V5_A_external_validation\A_stratified__UNSW-NB15__xgb__20260408_142455,none,0.9857407096950276,0.0195892857142857,0.8636344592386522,0.5796084024863513,0.5796084024863513,0.7624035327339305,0.538613946721063,0.489649042473694,0.7511534666735105,0.0195892857142857,0.0,0.0821392233176726,0.0821241479586904,0.3365818697991671,0.0863871980692389
UNSW-NB15,xgb,strict_tau,A_stratified,A_stratified__UNSW-NB15__xgb__20260408_142455,runs_two_stage_V5_A_external_validation\A_stratified__UNSW-NB15__xgb__20260408_142455,none,0.9857407096950276,0.0195892857142857,0.8636344592386522,0.5796084024863513,0.5796084024863513,0.7624035327339305,0.538459460802218,0.489508600729289,0.7465795221881933,0.0191607142857142,0.0236738697737551,0.0821392233176726,0.0821241479586904,0.3365818697991671,0.0863871980692389
