dataset,holdout_family,split_variant,model_family,stage1_weight_mode,split,method,thr_high,selection_param_json,macro_f1,accuracy,benign_family_fp_rate,benign_reject_rate,overall_reject_rate,unknown_detection_rate,false_unknown_rate_all_known,false_unknown_rate_known_attacks,n_true_unknown,n_known_all,n_known_attacks,coverage,unknown_known_auroc,unknown_known_aupr,control_macro_f1,control_unknown_detection_rate,delta_macro_f1_vs_control,delta_unknown_detection_vs_control
CICIDS2017,Scan/Recon,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,control_tau,0.0033333333333333,"{""tau"": 0.9}",0.7694073145973681,0.9843789724725232,0.0010859807129825,0.0159624685065593,0.1740384507216541,0.9993229423795754,0.0174184222501806,0.0352087756546355,70895,373570,28260,0.8259615492783459,0.9907633673863648,0.9089959615558916,0.7694073145973681,0.9993229423795754,0.0,0.0
CICIDS2017,Scan/Recon,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,margin_reject,0.0033333333333333,"{""margin_thr"": 0.14999999999984998}",0.4953896122777811,0.838871452195336,0.0142422750571949,0.0028061741623468,0.0149370591610138,0.0784822625008815,0.0028776400674572,0.0037508846426043,70895,373570,28260,0.9850629408389862,0.990761140930611,0.9017868858855498,0.7694073145973681,0.9993229423795754,-0.274017702319587,-0.9208406798786939
CICIDS2017,Scan/Recon,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,entropy_reject,0.0033333333333333,"{""entropy_thr"": 0.6241576460359157}",0.5501863376503836,0.8523505787857312,0.0099852306623034,0.0070632185572384,0.0314107972506271,0.1623809859651597,0.0065556656048397,0.0003538570417551,70895,373570,28260,0.9685892027493728,0.9901528605016708,0.8896807157910633,0.7694073145973681,0.9993229423795754,-0.2192209769469845,-0.8369419564144157
CICIDS2017,Scan/Recon,recovered contiguous-within-day Protocol B variant,rf,class_weight_balanced,test,conformal_reject,0.0033333333333333,"{""alpha"": 0.2, ""family_thresholds"": {""Botnet"": 0.8399999999983199, ""BruteForce"": 0.48187787949678956, ""DDoS"": 0.9999999999959999, ""DoS"": 0.9833333333323501, ""Web/App"": 0.28388929634090637}}",0.803243611563068,0.9824440619621344,0.0036402073499174,0.0134082418696243,0.1730709954664596,0.9987587276958882,0.016374441202452,0.0526185421089879,70895,373570,28260,0.8269290045335403,0.9906672513941746,0.9111381506765868,0.7694073145973681,0.9993229423795754,0.0338362969656999,-0.0005642146836871698
CICIDS2017,Web/App,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,test,control_tau,0.0009169654828087,"{""tau"": 0.9}",0.8166562451469023,0.9796834396409166,0.0017839043178593,0.0226260461614201,0.0184401471431946,0.0421940928270042,0.0184274741799256,0.0037708000566125,237,444228,98918,0.9815598528568054,0.9743585695854132,0.0137484868298505,0.8166562451469023,0.0421940928270042,0.0,0.0
CICIDS2017,Web/App,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,test,margin_reject,0.0009169654828087,"{""margin_thr"": 0.3166666666666667}",0.7527867947140875,0.9801986658117062,0.0128927630245286,0.0115171874547508,0.0091885750284049,0.0253164556962025,0.0091799706457044,0.001021047736509,237,444228,98918,0.990811424971595,0.9744842415471524,0.0137891615667768,0.8166562451469023,0.0421940928270042,-0.06386945043281478,-0.016877637130801697
CICIDS2017,Web/App,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,test,entropy_reject,0.0009169654828087,"{""entropy_thr"": 0.6386781358577484}",0.746907782145925,0.9801896662279368,0.0128898670759607,0.0115200834033187,0.0089545858504044,0.0,0.0089593632098832,2.0218767059584705e-05,237,444228,98918,0.9910454141495956,0.9741556147337423,0.0137296558681328,0.8166562451469023,0.0421940928270042,-0.06974846300097726,-0.0421940928270042
CICIDS2017,Web/App,recovered contiguous-within-day Protocol B variant,rf,inv_family_clipped,test,conformal_reject,0.0009169654828087,"{""alpha"": 0.15, ""family_thresholds"": {""Botnet"": 0.8266662853321617, ""BruteForce"": 0.9966666666636766, ""DDoS"": 0.9999999999959999, ""DoS"": 0.9833333333323501, ""Scan/Recon"": 0.9999999999960001}}",0.8057556813505,0.9771703058733534,0.000431496336625,0.0239784541426544,0.0221322263845297,0.160337552742616,0.0220584924858406,0.0153561535817545,237,444228,98918,0.9778677736154704,0.1713407024157474,0.0007511340033291,0.8166562451469023,0.0421940928270042,-0.010900563796402252,0.11814345991561179
CICIoT2023,Botnet,day-file Protocol B baseline,rf,class_weight_balanced,test,control_tau,0.92,"{""tau"": 0.5733333333333335}",0.8343751028984278,0.8922511480822471,0.0141357164701484,0.0063202963063644,0.0768402694099163,0.4665318308773957,0.009031061092994,0.0091980366916789,176511,1014388,955530,0.9231597305900836,0.9895006163944112,0.8677075045093645,0.8343751028984278,0.4665318308773957,0.0,0.0
CICIoT2023,Botnet,day-file Protocol B baseline,rf,class_weight_balanced,test,margin_reject,0.92,"{""margin_thr"": 0.28666666666666674}",0.817522990849055,0.8756981070602965,0.0106527574841143,0.0098032552923986,0.0671526300719036,0.3732515254006832,0.0138891627266884,0.0141408433016231,176511,1014388,955530,0.9328473699280964,0.9844033245520928,0.7935136068389541,0.8343751028984278,0.4665318308773957,-0.01685211204937276,-0.09328030547671251
CICIoT2023,Botnet,day-file Protocol B baseline,rf,class_weight_balanced,test,entropy_reject,0.92,"{""entropy_thr"": 0.6137530311290037}",0.8636823080393581,0.9229682785861774,0.0200652417683237,0.0003907710081892,0.0974885359715643,0.650554356385721,0.0012510006033194,0.0013039883624794,176511,1014388,955530,0.9025114640284356,0.9984588504956642,0.9793013502708072,0.8343751028984278,0.4665318308773957,0.029307205140930326,0.18402252550832532
CICIoT2023,Botnet,day-file Protocol B baseline,rf,class_weight_balanced,test,conformal_reject,0.92,"{""alpha"": 0.2, ""family_thresholds"": {""BruteForce"": 0.04999999999995, ""DDoS"": 0.9999904411264658, ""DoS"": 0.9899999999970297, ""Other"": 0.8066666666650534, ""Scan/Recon"": 0.67}}",0.8199928184225431,0.8294338982566951,0.0055047742023174,0.0149512385741955,0.3007190366269516,0.9997507237509276,0.1790823629617069,0.1891923853777484,176511,1014388,955530,0.6992809633730483,0.9990187350950712,0.9876046198686064,0.8343751028984278,0.4665318308773957,-0.014382284475884632,0.5332188928735319
