dataset,holdout_family,split_variant,model_family,stage1_weight_mode,method,sink_family,global_tau,sink_tau,margin_floor,macro_f1,accuracy,unknown_detection_rate,false_unknown_rate_all_known,false_unknown_rate_known_attacks,benign_family_fp_rate,overall_reject_rate,benign_reject_rate,n_true_unknown,n_known_all,n_known_attacks,delta_macro_f1_mean,delta_macro_f1_ci_low,delta_macro_f1_ci_high,delta_unknown_detection_mean,delta_unknown_detection_ci_low,delta_unknown_detection_ci_high
CICIoT2023,DoS,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_reject,DDoS,0.8066666666642466,0.8066666666642466,0.0,0.7086360295203586,0.8114306922753315,0.09277685065650682,0.031152252472896852,0.03206629512675162,0.0039416901695606375,0.04101271392452257,0.01653131265078664,190554.0,1000345.0,941487.0,,,,,,
CICIoT2023,DoS,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_delta_vs_control,DDoS,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
CICIoT2023,Botnet,day-file Protocol B baseline,rf,class_weight_balanced,control_tau,DDoS,0.5733333333333335,,,0.8343751028984278,0.8922511480822471,0.4665318308773957,0.009031061092994,0.0091980366916789,0.0141357164701484,0.0768402694099163,,,,,,,,,,
CICIoT2023,Botnet,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_reject,DDoS,0.5733333333333335,0.5733333333333335,0.0,0.8343751028984278,0.8922511480822471,0.46653183087739575,0.009031061092994003,0.009198036691678964,0.014135716470148493,0.07684026940991637,0.006320296306364471,176511.0,1014388.0,955530.0,,,,,,
CICIoT2023,Botnet,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_delta_vs_control,DDoS,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
CICIoT2023,BruteForce,day-file Protocol B baseline,rf,class_weight_balanced,control_tau,Other,0.8733333333324601,,,0.7893570818614192,0.9481920801008312,0.671307037896365,0.0347913386456261,0.0356295735553873,0.0031091780216792,0.0361735126152595,,,,,,,,,,
CICIoT2023,BruteForce,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_reject,Other,0.8733333333324601,0.8733333333324601,0.0,0.7893570818614192,0.9481920801008313,0.671307037896365,0.034791338645626196,0.03562957355538733,0.003109178021679296,0.03617351261525956,0.018706038261578715,2586.0,1188313.0,1129455.0,,,,,,
CICIoT2023,BruteForce,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_delta_vs_control,Other,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
CICIoT2023,Scan/Recon,day-file Protocol B baseline,rf,class_weight_balanced,control_tau,Other,0.93999999999906,,,0.7709959945739941,0.9425324901607944,0.4284895960131177,0.014053538137672,0.0145554748016403,0.0137619355057936,0.0383542181158939,,,,,,,,,,
CICIoT2023,Scan/Recon,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_reject,Other,0.93999999999906,0.9966666666636766,0.0,0.761480214041302,0.9336358498915526,0.5500723195234072,0.03172326438134996,0.03268368273000117,0.0043664412654184645,0.06211693854810525,0.014390567127663189,69829.0,1121070.0,1062212.0,,,,,,
CICIoT2023,Scan/Recon,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_delta_vs_control,Other,,,,,,,,,,,,,,,-0.009557579293190455,-0.010205181728928519,-0.008988556514086107,0.12147404151908325,0.11916393310817842,0.12385460471442958
CICIoT2023,DDoS,day-file Protocol B baseline,rf,class_weight_balanced,control_tau,DoS,0.38333333333295,,,0.70186931354262,0.5588971021052163,0.1647349724520922,5.190838672083e-05,5.75835704785752e-05,0.0195555404532943,0.0821505434130014,,,,,,,,,,
CICIoT2023,DDoS,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_reject,DoS,0.38333333333295,0.38333333333295,0.02,0.7019567557493297,0.55906504245952,0.1650735312695282,5.358285080859871e-05,5.944110501014214e-05,0.01955554045329437,0.08232016317084824,0.0,593693.0,597206.0,538348.0,,,,,,
CICIoT2023,DDoS,day-file Protocol B baseline,rf,class_weight_balanced,sink_aware_delta_vs_control,DoS,,,,,,,,,,,,,,,8.66751526202747e-05,7.556230840606581e-05,9.826378438546613e-05,0.000335628254055029,0.00029153991562025984,0.00038087975084105457
