dataset,competitive_candidate,competitive_claim_status,competitive_accuracy,competitive_macro_f1,competitive_weighted_f1,strict_baseline_accuracy,strict_baseline_macro_f1_supported_labels,strict_baseline_macro_f1_declared_output_labels_historical,operational_accuracy,operational_macro_f1_supported_labels,operational_macro_f1_declared_output_labels_historical,delta_macro_f1_supported_labels_vs_strict,delta_accuracy_vs_strict,delta_macro_f1_supported_labels_vs_operational,delta_accuracy_vs_operational
CICIDS2017,direct_multiclass:soft_vote_top3,literature-comparable,0.9920266265618356,0.953166214934167,0.9919331270478786,0.9862583842575848,0.818902771736530,0.716539925269464,0.9851193309092756,0.850374216458442,0.744077439401136,0.13426344319763672,0.00576824230425077,0.10279199847572529,0.006907295652559986
CICIoT2023,direct_multiclass:soft_vote_top3,literature-comparable,0.9813918619443656,0.919439929094544,0.9813511118049688,0.972182737996582,0.897154513910465,0.785010199671656,0.9721673711628191,0.897142171999474,0.784999400499540,0.02228541518407945,0.009209123947783615,0.022297757095069537,0.009224490781546413
