lane,comparison_key,dataset,metric,n,mean,sd,min,max,ci95_low,ci95_high
protocol_a_flat,CICIoT2023::two_stage_overlay::rf_closed_threshold_overlay,CICIoT2023,benign_family_fp_rate,5,0.0010216092566682,0.0,0.0010216092566682,0.0010216092566682,0.0010216092566682,0.0010216092566682
protocol_a_flat,CICIoT2023::two_stage_overlay::rf_closed_threshold_overlay,CICIoT2023,overall_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
protocol_a_flat,CICIoT2023::two_stage_overlay::xgb_closed_threshold_overlay,CICIoT2023,macro_f1,5,0.7546668691830875,0.0,0.7546668691830875,0.7546668691830875,0.7546668691830875,0.7546668691830875
protocol_a_flat,CICIoT2023::two_stage_overlay::xgb_closed_threshold_overlay,CICIoT2023,accuracy,5,0.9396248077773739,1.2412670766236366e-16,0.939624807777374,0.939624807777374,0.9396248077773738,0.939624807777374
protocol_a_flat,CICIoT2023::two_stage_overlay::xgb_closed_threshold_overlay,CICIoT2023,weighted_f1,5,0.94232411592103,1.2412670766236366e-16,0.9423241159210302,0.9423241159210302,0.9423241159210299,0.9423241159210302
protocol_a_flat,CICIoT2023::two_stage_overlay::xgb_closed_threshold_overlay,CICIoT2023,binary_attack_f1,5,0.9677965697667489,1.2412670766236366e-16,0.9677965697667488,0.9677965697667488,0.9677965697667488,0.967796569766749
protocol_a_flat,CICIoT2023::two_stage_overlay::xgb_closed_threshold_overlay,CICIoT2023,benign_family_fp_rate,5,6.66266906522753e-05,0.0,6.66266906522753e-05,6.66266906522753e-05,6.66266906522753e-05,6.66266906522753e-05
protocol_a_flat,CICIoT2023::two_stage_overlay::xgb_closed_threshold_overlay,CICIoT2023,overall_reject_rate,5,0.0,0.0,0.0,0.0,0.0,0.0
protocol_a_two_stage,CICIDS2017::rf::strict,CICIDS2017,system_macro_f1_declared_output_labels_historical,5,0.7175194539277167,0.003312256069510993,0.7149961589980776,0.7233218063469715,0.713406744813373,0.7216321630420603
protocol_a_two_stage,CICIDS2017::rf::strict,CICIDS2017,system_macro_f1_supported_labels,5,0.8200222330602476,0.0037854355080125584,0.8171384674263743,0.8266534929679674,0.8153219940724262,0.8247224720480689
protocol_a_two_stage,CICIDS2017::rf::strict,CICIDS2017,system_accuracy,5,0.9879514173123418,0.0014368435103679765,0.9862583842575848,0.9894978646715782,0.9861673404544652,0.9897354941702184
protocol_a_two_stage,CICIDS2017::rf::strict,CICIDS2017,stage2_macro_f1_fixedK,5,0.8704124769725485,0.006816575183399236,0.8623044532691629,0.8783246424251104,0.8619485809762725,0.8788763729688246
